Aaron Brooks;Rockets;71;12;140.0;233.0;1557:11;40.103270223752155;38.70967741935484;87.36842105263159;43.0;97.0;52.0;13.0;117.0;146.0;645.0;606.0;863.8000000000003;51.78227360308285;48.364888123924274;4.92323244742187;5.711395853430585;4.639418166102368;23.251442568851292;1.6290576894754938;1.2837782004070188;16.58069270449521;16.975565435777177;0;G;6-0;161;JAN 14, 1985;29;5;Oregon;2.0;-0.08059701492537313;-0.5306666666666666;-0.408955223880597
Aaron Gray;Kings;37;6;111.0;22.0;354:21;44.26229508196721;0.0;55.00000000000001;42.0;69.0;10.0;8.0;31.0;64.0;65.0;142.0;154.79999999999998;46.561604584527224;44.26229508196721;17.385645492938114;24.64393231437712;14.742632190854138;9.037803712243434;1.4196331456257743;3.642472208551632;26.306856754921924;10.224496252660447;33;C;7-0;270;DEC 07, 1984;29;6;Pittsburgh;0.0;0.0285714285714286;-0.6952380952380952;-0.0762886597938145
Adonis Thomas;76ers;6;1;3.0;3.0;37:35;42.857142857142854;20.0;100.0;0.0;3.0;0.0;0.0;1.0;6.0;14.0;11.0;17.4;48.47645429362881;46.42857142857143;4.634861597882841;0.0;6.163247593967531;12.358157719080767;0.0;0.0;6.188118811881188;14.508077661439037;7;G-F;6-7;240;MAR 25, 1993;21;R;Memphis;0.0;0.19999999999999996;0.0;0.0
Al Harrington;Wizards;34;0;80.0;28.0;511:21;39.61352657004831;34.0;77.14285714285715;15.0;65.0;14.0;0.0;34.0;72.0;225.0;180.0;286.90000000000003;50.58453237410072;47.82608695652174;9.12501285927365;6.61330651357052;10.001605529782578;8.446102475203872;1.403342938072152;0.0;14.650120648052397;18.034306973036447;7;F;6-9;245;FEB 17, 1980;34;15;St. Patrick's HS (NJ);0.0;0.4099447513812156;0.26086956521739124;-0.4438356164383562
Al Horford;Hawks;29;29;244.0;76.0;957:44;56.666666666666664;36.36363636363637;68.23529411764706;66.0;178.0;27.0;44.0;64.0;56.0;538.0;656.0;827.1000000000001;58.81066899868824;57.14285714285714;14.631181900575907;17.10080458931914;13.88754086790601;14.363234424966494;1.4177970173000183;7.142656502500149;9.72940103374886;19.74604149187398;15;C-F;6-10;250;JUN 03, 1986;28;6;Florida;9.0;0.27623529411764725;0.48965517241379325;0.05600000000000001
Al Jefferson;Hornets;73;73;792.0;155.0;2553:15;50.872093023255815;20.0;68.95306859205776;156.0;636.0;67.0;79.0;124.0;176.0;1594.0;1801.0;2481.2;53.208534729083766;50.98110465116279;17.454887291991813;15.816188846425977;17.910044416965633;12.57734504820784;1.3530997335505577;5.196875258678119;5.931765561317234;23.71647973262849;25;C;6-10;289;JAN 04, 1985;29;9;Prentiss HS (MS);42.0;-0.06049631120053646;-0.5466666666666667;0.19560439560439574
Al-Farouq Aminu;Pelicans;80;65;495.0;114.0;2035:27;47.14285714285714;25.53191489361702;66.42335766423358;129.0;366.0;81.0;38.0;87.0;147.0;565.0;901.0;1104.7;51.33750090862834;48.36734693877551;14.140831496048767;13.894176933368241;14.229867530857481;8.408738734094612;2.0606124645196218;3.086274260363233;11.668454935622318;11.541323769229727;0;F;6-9;215;SEP 21, 1990;23;3;Wake Forest;5.0;0.45631067961165056;-0.01869158878504685;0.3186813186813187
Alan Anderson;Nets;78;26;174.0;81.0;1767:29;40.0;33.87096774193548;77.96610169491525;40.0;134.0;48.0;11.0;62.0;146.0;564.0;499.0;722.9000000000001;52.5217909558221;48.65979381443299;5.887421630114101;5.482260135675067;6.020233550964046;7.276015046964544;1.4204898963961332;1.0709879773245006;12.09992193598751;13.03438552265011;6;F-G;6-6;220;OCT 16, 1982;31;4;Michigan State;0.0;-0.09265536723163849;-0.6303797468354431;0.17888198757763982
Alec Burks;Jazz;78;12;257.0;212.0;2193:5;45.7280385078219;34.96503496503497;74.79892761394102;59.0;198.0;69.0;14.0;149.0;190.0;1089.0;947.0;1215.3000000000002;54.717019052978536;48.73646209386281;6.726333635224774;6.033902240019631;6.964485701377826;16.771202424383894;1.6494267350490384;0.9944683961860589;12.38940996474423;19.159551245653205;10;G;6-6;211;JUL 20, 1991;22;2;Colorado;0.0;-0.29740134744947067;0.11167512690355325;0.16554621848739484
Alex Len;Suns;42;3;99.0;4.0;362:16;42.30769230769231;0.0;64.51612903225806;39.0;60.0;4.0;18.0;26.0;68.0;86.0;129.0;141.3;46.922741161065034;42.30769230769231;15.24425261731081;22.815158855678558;12.539549192841616;1.556274376318066;0.5483824511800263;7.666984076171551;18.79699248120301;11.57532011862602;21;C;7-1;255;JUN 16, 1993;21;R;Maryland;0.0;-0.34430379746835443;1.4666666666666666;-0.07499999999999998
Alexey Shved;Timberwolves;63;0;81.0;68.0;664:4;32.06751054852321;29.411764705882355;75.55555555555556;21.0;60.0;26.0;16.0;48.0;36.0;250.0;210.0;309.2;45.19161243673174;38.39662447257383;6.649123599977128;6.4456379881537975;6.723412788818603;14.803367087603391;1.9297703287946104;3.603466906763147;16.70843776106934;16.859076145325684;1;G;6-6;187;DEC 16, 1988;25;1;Russia;0.0;0.06375545851528394;-0.07936507936507942;0.8228571428571431
Alexis Ajinca;Pelicans;56;30;277.0;40.0;950:35;54.61847389558233;0.0;83.5820895522388;94.0;183.0;23.0;46.0;63.0;187.0;328.0;527.0;558.9000000000001;58.89112324044814;54.61847389558233;17.169903355282372;22.289094642746367;15.358054753539497;6.666630879607189;1.2567379198598203;8.034580224018988;14.980026631158456;13.439041028265864;42;C;7-2;248;MAY 06, 1988;26;3;Saint Etienne, France;3.0;-0.47692307692307684;0.45714285714285713;-0.0763779527559056
