Aaron Brooks;Rockets;71;12;140.0;233.0;1525.0;0.4010327022375215;0.3870967741935484;0.4010327022375215;43.0;97.0;52.0;13.0;117.0;146.0;645.0;606.0;863.8000000000003;0.5178227360308285;0.4836488812392427;0.049289739871128814;0.057180565598534;0.04644828717773116;0.23284872672553708;0.01630957518395408;0.01285275359757265;0.1658069270449521;0.16995362567797204;0;G;6-0;161;JAN 14, 1985	;29;5;Oregon		;42.0
Aaron Gray;Kings;37;6;111.0;22.0;340.0;0.4426229508196721;0.0;0.4426229508196721;42.0;69.0;10.0;8.0;31.0;64.0;65.0;142.0;154.79999999999998;0.4656160458452722;0.4426229508196721;0.17729645742697325;0.25131548311990687;0.15034336583298005;0.09236901864044045;0.014477226495133399;0.037145438121047876;0.26306856754921926;0.10426802762706679;33;C;7-0;270;DEC 07, 1984	;29;6;Pittsburgh	;6.0
Adonis Thomas;76ers;6;1;3.0;3.0;34.0;0.42857142857142855;0.2;0.42857142857142855;0.0;3.0;0.0;0.0;1.0;6.0;14.0;11.0;17.4;0.4847645429362881;0.4642857142857143;0.05005929791271347;0.0;0.06656678757293802;0.1361700754887412;0.0;0.0;0.06188118811881188;0.15669598033445278;7;G-F;6-7;240;MAR 25, 1993	;21;R;Memphis	;0.0
Al Harrington;Wizards;34;0;80.0;28.0;493.0;0.3961352657004831;0.34;0.3961352657004831;15.0;65.0;14.0;0.0;34.0;72.0;225.0;180.0;286.90000000000003;0.5058453237410072;0.4782608695652174;0.09263372537596037;0.06713581984517945;0.10153256704980843;0.08606446457799027;0.014246213823310365;0.0;0.14650120648052398;0.1830775545470304;7;F;6-9;245;FEB 17, 1980		;34;15;St. Patrick's HS (NJ)	;16.0
Al Horford;Hawks;29;29;244.0;76.0;944.0;0.5666666666666667;0.36363636363636365;0.5666666666666667;66.0;178.0;27.0;44.0;64.0;56.0;538.0;656.0;827.1000000000001;0.5881066899868824;0.5714285714285714;0.14508336215842269;0.1695722356739306;0.13770938909241473;0.1418905269468622;0.014058929724602317;0.07082685644723288;0.0972940103374886;0.195802506484321;15;C-F;6-10;250;JUN 03, 1986	;28;6;Florida	;29.0
Al Jefferson;Hornets;73;73;792.0;155.0;2514.0;0.5087209302325582;0.2;0.5087209302325582;156.0;636.0;67.0;79.0;124.0;176.0;1594.0;1801.0;2481.2;0.5320853472908377;0.5098110465116279;0.1736068534677346;0.15730830761303438;0.1781338604302132;0.12471236321916139;0.013457972156458229;0.05168828342634771;0.05931765561317234;0.2358848471970336;25;C;6-10;289;JAN 04, 1985		;29;9;Prentiss HS (MS)	;73.0
Al-Farouq Aminu;Pelicans;80;65;495.0;114.0;2001.0;0.4714285714285714;0.2553191489361702;0.4714285714285714;129.0;366.0;81.0;38.0;87.0;147.0;565.0;901.0;1104.7;0.5133750090862834;0.48367346938775513;0.14083367523399426;0.13837715288697114;0.14172041743256136;0.08368773655818734;0.020522387717608098;0.030737325947804546;0.11668454935622317;0.11494423393279592;0;F;6-9;215;SEP 21, 1990	;23;3;Wake Forest	;60.0
Alan Anderson;Nets;78;26;174.0;81.0;1735.0;0.4;0.3387096774193548;0.4;40.0;134.0;48.0;11.0;62.0;146.0;564.0;499.0;722.9000000000001;0.525217909558221;0.4865979381443299;0.05866200147489867;0.054624990763319295;0.05998533341649646;0.07245237245593951;0.014153696750924512;0.010671275517970844;0.12099921935987511;0.12987402479262894;6;F-G;6-6;220;OCT 16, 1982	;31;4;Michigan State	;35.0
Alec Burks;Jazz;78;12;257.0;212.0;2157.0;0.457280385078219;0.34965034965034963;0.457280385078219;59.0;198.0;69.0;14.0;149.0;190.0;1089.0;947.0;1215.3000000000002;0.5471701905297853;0.48736462093862815;0.06697263728451111;0.06007824887168712;0.06934386547656797;0.16677053660913288;0.01642298233250263;0.009901704970430412;0.1238940996474423;0.19076747388642668;10;G;6-6;211;JUL 20, 1991	;22;2;Colorado	;72.0
Alex Len;Suns;42;3;99.0;4.0;344.0;0.4230769230769231;NaN;0.4230769230769231;39.0;60.0;4.0;18.0;26.0;68.0;86.0;129.0;141.3;0.46922741161065035;0.4230769230769231;0.15692199825837516;0.23485574584022575;0.1290801960579831;0.016080718646699205;0.005644964840800177;0.07892275810765335;0.1879699248120301;0.11915456986277606;21;C;7-1;255;JUN 16, 1993	;21;R;Maryland	;4.0
Alexey Shved;Timberwolves;63;0;81.0;68.0;635.0;0.3206751054852321;0.29411764705882354;0.3206751054852321;21.0;60.0;26.0;16.0;48.0;36.0;250.0;210.0;309.2;0.4519161243673174;0.38396624472573837;0.0679598036792486;0.0658800044360652;0.06871910354986234;0.15185815977386116;0.019723924622392624;0.03683055366110732;0.16708437761069342;0.1723143641146599;1;G;6-6;187;DEC 16, 1988	;25;1;Russia		;16.0
Alexis Ajinca;Pelicans;56;30;277.0;40.0;926.0;0.5461847389558233;0.0;0.5461847389558233;94.0;183.0;23.0;46.0;63.0;187.0;328.0;527.0;558.9000000000001;0.5889112324044814;0.5461847389558233;0.17258302410714332;0.22403849797279377;0.1543712552670535;0.06708783000150083;0.012632082209874586;0.08075946170460209;0.14980026631158455;0.1350823178072543;42;C;7-2;248;MAY 06, 1988		;26;3;Saint Etienne, France	;29.0
